,id,X.x,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year,car_name_similarity,title,car_price_usd,st_error,r_sq
28,1187,9834,"Умнова Олена Володимирівна",Суддя,"Вищий спеціалізований суд з розгляду цивільних і кримінальних справ","Загальнодержавний регіон",2013,279995,0,269930,0,10065,0,0,0,0,0,0,0,0,0,0,0,127.6,0,0,0,0,0,1,0,0,0,"Audi,Q7;;",;;,2012;;,;;,0.5,"Audi Q7 3.6",56095.8212656119,965.661895230697,0.82944035369412
29,1207,12965,"Урсакі Олексій Олексійович","Начальник Тарутинського управління юстиції","Міністерство юстиції","Одеська область",2013,52931,52016,45404,34120,0,0,0,0,0,0,2768,3429,0,0,0,0,0,0,159,159,0,0,1,1,0,0,"ВАЗ,2121;;","ВАЗ,2121;;",1991;;,1991;;,0.75,"ВАЗ 2121 1.9",2752.04244128499,66.1102812884825,0.76251669474891
30,121,9799,"Грох Лариса Михайлівна",Суддя,"Загальний апеляційний суд","Хмельницька область",2013,242514,122252,217914,0,0,0,0,0,0,0,12617,0,0,0,0,0,0,56,0,44.7,0,0,1,0,0,0,"Volkswagen,Passat;;",;;,1999;;,;;,0.90909090909091,"Volkswagen Passat B5",6372.59563667092,111.233523671773,0.40894243537279
31,1217,13016,"Власова Світлана Георгіївна","Суддя, заступник голови суду","Господарський місцевий суд","Одеська область",2013,239903.31,330802,239903.31,319042,0,0,0,0,0,926,0,0,0,0,0,0,72.3,0,0,182.9,0,0,1,1,0,0,"Hyundai,Santa Fe;;","Hyundai,SantaFe;;",2012;;,2012;;,0.53333333333333,"Hyundai Santa FE 2.2 CRDI",26750.6706509727,317.679536732911,0.90181426677885
32,1220,3598,"Джавага Галина Миколаївна",Суддя,"Загальний апеляційний суд","Запорізька область",2013,326409,44937,267733,4420,0,0,0,0,0,0,0,0,0,0,0,0,161.69,0,0,0,0,0,1,0,0,0,"Mitsubishi,Lancer;;",;;,2005;;,;;,1,"Mitsubishi Lancer X",8175.6563949742,484.570143878001,0.45767890583272
33,1256,3606,"Соломоненко Максим Віталійович","Спеціаліст І категорії відділу взаємодії з Державною виконавчою службою України Управління взаємодії з Державними службами України Департаменту взаємодії з органами влади","Міністерство юстиції","Загальнодержавний регіон",2013,102048,0,1576,0,0,0,0,0,0,0,0,0,100070,0,0,0,124,0,0,0,0,0,1,0,0,0,"Toyota,Corolla;;",;;,2008;;,;;,1,"Toyota Corolla",10924.6242432424,80.38694783294,0.89547487556312
34,1259,12838,"Андрухів Вадим Васильович",Суддя,"Адміністративний місцевий суд","Одеська область",2013,457022,10121,218995,9834,0,0,0,0,27,23,0,0,0,0,0,0,0,68.5,0,399.9,0,0,2,1,0,0,"Hyundai,ix35;Nissan,Primera;","Renault,Clio Symbol;;",2013;2003;,2006;;,0.8,"Nissan Primera 2.0i",7242.47241198563,85.3220543322246,0.76999868064572
35,1277,12914,"Дрига Андрій Миколайович",Суддя,"Загальний апеляційний суд","Київська область",2013,240894,52600,228277,51000,0,0,0,0,0,0,12617,1600,0,0,0,0,0,90.8,0,0,0,0,1,0,0,0,"Mitsubishi,Outlander;;",;;,2008;;,;;,1,"Mitsubishi Outlander",11934.429281544,155.684499680106,0.87343429019931
36,1285,12839,"Демченко Сергій Миколайович",Суддя,"Загальний апеляційний суд","Закарпатська область",2013,295658,11605,258592,3485,0,0,0,0,24396,8120,12670,0,0,0,0,0,51,102,172,0,0,0,1,1,0,0,"Volkswagen,Jetta;;","Volkswagen,Passat;;",2007;;,2013;;,1,"Volkswagen Jetta",10276.4115338856,181.283386312291,0.90986636404812
37,1288,6746,"Томчук Андрій Валерійович","Суддя, заступник голови суду","Адміністративний місцевий суд","Вінницька область",2013,307734,46057,156427,32637,0,0,0,0,19837,9,11470,0,0,0,0,0,74.2,0,0,0,0,0,1,0,0,0,"Volkswagen,Touareg;;",;;,2013;;,;;,1,"Volkswagen Touareg",50628.9547139043,506.644297169286,0.86157699626465
38,1294,12870,"Корчинський Роман Теодорович","Начальник Трускавецького міського управління юстиції","Міністерство юстиції","Львівська область",2013,44461,47762,41023,17762,0,0,0,0,0,0,3438,0,0,0,0,400,0,0,0,110,0,0,1,0,0,0,"Toyota,Camry;;",;;,2007;;,;;,0.8,"Toyota Camry 3.5",14299.443275079,97.2833457863326,0.91716184076841
39,1298,12863,"Балан Василь Дмитрович",Суддя,"Загальний апеляційний суд","Одеська область",2013,314190.13,0,257773.13,0,0,0,0,0,0,0,12617,0,0,0,0,0,39.3,48.9,0,0,0,0,1,0,0,0,"SsangYong,Korando;;",;;,2013;;,;;,1,"SsangYong Korando",16404.9230769231,815.282579147979,0.44939320079705
40,1309,626,"Нехай Микола Вікторович","Старший слідчий ОВС і відділу кримінальних рослідувань слідчого управління фінансових рослідувань у Міндоходів Запоріжської області","Державна фіскальна служба / Державна митна служба / Державна податкова служба / Податкова інспекція / Міністерство зборів та доходів/","Запорізька область",2013,49065.58,71068.64,49065.58,71068.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Dacia,Logan;;","Daewoo,Matiz;;",2007;;,2007;;,1,"Dacia Logan",5774.0843373494,105.967062380274,0.23361055869872
41,1312,3518,"Дацків Володимир Васильович",Суддя,"Загальний апеляційний суд","Закарпатська область",2013,306157,13835,244280,13835,0,0,0,0,0,0,12617,0,0,0,0,0,68,0,0,0,0,0,2,0,0,0,"Skoda,Octavia;Skoda,Octavia;",;;,2007;2011;,;;,0.92307692307692,"Skoda Octavia A5",10540.8740418846,103.782765160378,0.54545272555537
42,1312,3518,"Дацків Володимир Васильович",Суддя,"Загальний апеляційний суд","Закарпатська область",2013,306157,13835,244280,13835,0,0,0,0,0,0,12617,0,0,0,0,0,68,0,0,0,0,0,2,0,0,0,"Skoda,Octavia;Skoda,Octavia;",;;,2007;2011;,;;,0.92307692307692,"Skoda Octavia A5",14375.5488041259,107.291698527028,0.54545272555537
43,1315,787,"Даниленко Ірина Петрівна","Старший інспектор відділу впровадження новітніх технологій з питань реєстраційно екзаменаційної діяльності","Міністерство внутрішніх справ","Загальнодержавний регіон",2013,40978.42,0,38089.42,0,0,0,0,0,0,0,2889,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Volkswagen,Touareg;;",;;,2006;;,;;,1,"Volkswagen Touareg",19198.1995540139,431.01183148755,0.86157699626465
44,1317,9784,"Дубровна Валентина Анатоліївна",Суддя,"Адміністративний місцевий суд","Херсонська область",2013,162951,0,162951,0,0,0,0,0,0,0,0,0,0,0,0,0,100.2,0,0,0,0,0,2,0,0,0,"Toyota,RAV4;Toyota,Venza;",;;,2008;2013;,;;,1,"Toyota Venza",35136,998.514707603195,0.74594048624559
45,1320,629,"Онищенко Едуард Анатолійович",Суддя,"Загальний апеляційний суд","Запорізька область",2013,225699,0,225699,0,0,0,0,0,0,0,0,0,0,0,0,0,79.68,0,0,0,0,0,1,0,0,0,"Toyota,Camry;;",;;,2012;;,;;,0.8,"Toyota Camry 3.5",23560.6866723218,127.871372084543,0.91716184076841
