number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
3197,vulyk_1_1099,Шаповалов Альберт Пилипович,прокурор прокуратури Київського району м. Харкова Харківської області,Прокуратура,Харківська область,2014,77161,0,77161,0,0,0,0,0,0,0,0,0,0,0,0,0,155.8,0,0,0,0,0,1,0,0,0,Honda Legend;;;;;,;;;;;,2007;;;;;,;;;;;
3198,vulyk_1_1025,Василіва Наталія Євгенівна,старший прокурор прокуратури Вишгородського району Київської області,Прокуратура,Київська область,2014,86389,15941,86389,14718,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,0,0,1000,0,0,1,0,0,;;;;;,Mitsubishi Lancer;;;;;,;;;;;,2007;;;;;
3199,vulyk_1_922,Філоненко Тарас Михайлович,прокурор прокуратури Печерського району міста Києва,Прокуратура,м. Київ,2014,90231,0,90231,0,0,0,0,0,0,0,0,0,0,0,666355,0,104,104,0,0,0,1000,1,0,0,0,Volkswagen Touareg;;;;;,;;;;;,2005;;;;;,;;;;;
3200,vulyk_1_1006,Миколаїв Ігор Володимирович,заступник прокурора Гусятинського району Тернопільської області,Прокуратура,Тернопільська область,2014,122469.3,977,122469.3,977,0,0,0,0,0,0,0,0,0,0,6250,0,0,0,0,0,0,0.998,1,0,0,0,Volkswagen Caddy;;;;;,;;;;;,2004;;;;;,;;;;;
3201,vulyk_1_299,Цимбал Андрій Анатолійович,головний спеціаліст відділу планування забезпечення мобілізаційного розгортання Управління оборонного планування штабу КСВ Збройних Сил Україн,Збройні сили,Загальнодержавний регіон,2013,92936.05,16525.64,57235.05,16525.64,0,0,0,0,0,0,8182.6,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3202,vulyk_1_1570,Колос Валерій Олександрович,начальник відділу нагляду за додержанням законів у сфері протидії корупції та процесуального керівництва прокуратури Полтавської області,Прокуратура,Полтавська область,2014,154978,60466,154978,60466,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,1,0,0,;;;;;,Opel Astra;;;;;,;;;;;,2013;;;;;
3203,vulyk_1_1563,Порець Олександр Володимирович,прокурор прокуратури Згурівського району,Прокуратура,Київська область,2014,84849,9418,84849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,0,0,0,1,0,0,0,Chevrolet Aveo;;;;;,;;;;;,2009;;;;;,;;;;;
3204,vulyk_1_1784,Продан Ігор Олексійович,прокурор прокуратури Згурівського району,Прокуратура,Київська область,2014,63867,13760,63867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Volkswagen Caddy;;;;;,;;;;;,2008;;;;;,;;;;;
3205,vulyk_1_580,Балашов Іван Володимирович,"головний спеціаліст відділу діловодства, контролю та міжвідомчої координації Управління представництва держави в судах України Департаменту судової роботи",Міністерство юстиції,Загальнодержавний регіон,2013,73770,10260,54965,0,194,0,0,0,0,0,6023,8700,0,0,0,0,0,53.9,0,0,589,0,1,1,0,0,Hyundai i30;;;;;,Hyundai Getz;;;;;,2010;;;;;,2006;;;;;
3206,vulyk_1_307,Моісеєнко Віктор Миколайович,суддя господарського суду Сумської області,Господарський місцевий суд,Сумська область,2013,229160,72842,229160,72842,0,0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,2071,0,1,0,0,0,Volkswagen Golf;;;;;,;;;;;,2011;;;;;,;;;;;
3207,vulyk_1_1746,Матвійчук Микола Миколайович,старший прокурор відділу прокуратури Тернопільської області,Прокуратура,Тернопільська область,2014,118025,16795,118025,16795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,1,0,0,;;;;;,Peugeot Partner;;;;;,;;;;;,2008;;;;;
3208,vulyk_1_1183,Болгар Валентин Валентинович,старший прокурор відділу прокуратури Полтавської області,Прокуратура,Полтавська область,2014,111643,33731,110143,33731,0,0,0,0,0,0,1500,0,0,0,0,0,66.6,66.6,0,0,0,0,1,0,0,0,Hyundai Tucson;;;;;,;;;;;,2008;;;;;,;;;;;
3209,vulyk_1_371,Рибченко Анатолій Олексійович,суддя Вищого адміністративного суду України,Вищий адміністративний суд,Загальнодержавний регіон,2013,1256513,0,305049,0,0,0,0,0,0,0,13764,0,0,0,751342,0,120,0,113,0,9400,0,1,0,0,0,Volkswagen Golf;;;;;,;;;;;,2013;;;;;,;;;;;
